n=16,m=3,iterNum=200
scale: 10.7, success: 89.5, sign.: 24.5, av.time: 0
scale: 10.8, success: 94, sign.: 27, av.time: 0
scale: 10.9, success: 98, sign.: 22.5, av.time: 0
scale: 11, success: 91.5, sign.: 25.5, av.time: 0
scale: 11.1, success: 96.5, sign.: 31, av.time: 0
scale: 11.2, success: 94.5, sign.: 27.5, av.time: 0
scale: 11.3, success: 93.5, sign.: 26.5, av.time: 0
scale: 11.4, success: 93, sign.: 31.5, av.time: 0
scale: 11.5, success: 94, sign.: 32.5, av.time: 0
scale: 11.6, success: 92.5, sign.: 31.5, av.time: 0
scale: 11.7, success: 95, sign.: 29, av.time: 0
scale: 11.8, success: 95.5, sign.: 32.5, av.time: 0
scale: 11.9, success: 92, sign.: 33.5, av.time: 0
scale: 12, success: 95.5, sign.: 32.5, av.time: 0.01
scale: 12.1, success: 94.5, sign.: 37, av.time: 0
scale: 12.2, success: 92.5, sign.: 34.5, av.time: 0
scale: 12.3, success: 90, sign.: 33.5, av.time: 0
scale: 12.4, success: 96, sign.: 43.5, av.time: 0
scale: 12.5, success: 92, sign.: 40.5, av.time: 0
scale: 12.6, success: 96.5, sign.: 42.5, av.time: 0
scale: 12.7, success: 95, sign.: 39.5, av.time: 0
scale: 12.8, success: 94.5, sign.: 39.5, av.time: 0
scale: 12.9, success: 93, sign.: 42.5, av.time: 0
scale: 13, success: 93.5, sign.: 39, av.time: 0.005
scale: 13.1, success: 91, sign.: 40, av.time: 0
scale: 13.2, success: 94.5, sign.: 36.5, av.time: 0
scale: 13.3, success: 94, sign.: 41.5, av.time: 0
scale: 13.4, success: 93, sign.: 49, av.time: 0
scale: 13.5, success: 96, sign.: 41.5, av.time: 0
scale: 13.6, success: 93.5, sign.: 43, av.time: 0
scale: 13.7, success: 92, sign.: 35.5, av.time: 0
scale: 13.8, success: 96.5, sign.: 49, av.time: 0
scale: 13.9, success: 91, sign.: 47, av.time: 0
scale: 14, success: 95.5, sign.: 46, av.time: 0.005
scale: 14.1, success: 93.5, sign.: 44.5, av.time: 0
scale: 14.2, success: 94.5, sign.: 50.5, av.time: 0
scale: 14.3, success: 97.5, sign.: 45, av.time: 0
scale: 14.4, success: 91.5, sign.: 44.5, av.time: 0
scale: 14.5, success: 92, sign.: 45, av.time: 0
scale: 14.6, success: 92, sign.: 47, av.time: 0.005
scale: 14.7, success: 96, sign.: 53, av.time: 0
scale: 14.8, success: 93, sign.: 54.5, av.time: 0.01
scale: 14.9, success: 95, sign.: 49.5, av.time: 0.245
scale: 15, success: 94.5, sign.: 49.5, av.time: 0.11
scale: 15.1, success: 92.5, sign.: 58.5, av.time: 0
scale: 15.2, success: 94, sign.: 49, av.time: 0
scale: 15.3, success: 97, sign.: 48, av.time: 
